idAjusteDirecto,contract_description,type_spender,type_spender1,type_spender2,name_spender,CIF_spender,name_receiver,CIF_receiver,dataCelebracaoContrato,precoContratual,region1,region2,region3
118320,Aquisição dos serviços de orquestra e de organização de ciclo de concertos denominados Música e Ciência - Concertos Comentados por Cientistas.,Administração Pública,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,Agência,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,504300156,Associação Música - Educação e Cultura.,502741481,2009-10-22T00:00:00Z,150000,Portugal,Lisboa,Lisboa
120111,"Aquisição de serviços de transmissão de publicidade e distribuição de Guia de actividades, a incluir no Jornal Metro.",Administração Pública,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,Agência,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,504300156,"Transjornal - Edição de Publicações, S.A.",505338602,2009-07-30T00:00:00Z,7086.5,Portugal,Lisboa,Lisboa
121478,Subscrição do serviço telefónico móvel.,Administração Pública,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,Agência,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,504300156,Sonaecom - Serviços de Comunicação S.A.,502604751,2008-10-14T00:00:00Z,48000,Portugal,Lisboa,Lisboa
130034,"Realização de quatro oficinas de animação, organizadas em cinco workshops cada nos concelhos de Aljustrel, Almodôvar, Castro Verde e Ferreira do Alentejo no âmbito do projecto Crescer na Diferença, Educar para a Igualdade.",Administração Pública,Esdime - Agência para o Desenvolvimento Local no Alentejo Sudoeste,Agência,Esdime - Agência para o Desenvolvimento Local no Alentejo Sudoeste,502149248,Instituto Politécnico de Beja - Escola Superior de Educação de Beja,680038671,2009-08-14T00:00:00Z,7950,Portugal,Beja,Portugal
130089,Aquisição de fotocopiadora multifuncional digital,Administração Pública,Esdime - Agência para o Desenvolvimento Local no Alentejo Sudoeste,Agência,Esdime - Agência para o Desenvolvimento Local no Alentejo Sudoeste,502149248,"Prosonic - Produtos de Imagem e Comunicação, S.A.",504030213,2009-02-09T00:00:00Z,6999.97,Portugal,Beja,Castro Verde
130211,O presente contrato tem por objecto a realização de serviços de Assessoria Jurídica.Os serviços a contratar são os identificados na Parte II do Caderno de Encargos 05/2009 e melhor especificados na Proposta do adjudicatário.,Administração Pública,ADEPORTO - Agência de Energia do Porto,Agência,ADEPORTO - Agência de Energia do Porto,507886550,"Cuatrecasas, Gonçalves Pereira & Associados, RL",502101210,2010-01-29T00:00:00Z,5760,Portugal,Porto,Porto
135709,Aquisição de uma viatura ligeira de passageiros,Administração Pública,Esdime - Agência para o Desenvolvimento Local no Alentejo Sudoeste,Agência,Esdime - Agência para o Desenvolvimento Local no Alentejo Sudoeste,502149248,"Renault Portugal, SA",500970602,2010-02-02T00:00:00Z,16636.34,Portugal,Beja,Castro Verde
142939,"Relatório sobre a aplicação das medidas de Apoio às Produções Locais e ao Regime Específico de Abastecimento na Região Autónoma da Madeira, no âmbito do Programa POSEI, no ano 2009, em conformidade com o previsto nos Regulamentos (CE) nº 247/2006, do Conselho de 30 de Janeiro, e nº 793/2006, de 31 de Maio",Administração Pública,ADERAM - Agência de Desenvolvimento da Região Autónoma da Madeira,Agência,ADERAM - Agência de Desenvolvimento da R.A.Madeira,511127626,"AGROGÉS - Sociedade de Estudos e Projectos, Lda",502467380,2010-03-25T00:00:00Z,17500,Portugal,Região Autónoma da Madeira,Portugal
146179,Aquisição de serviços para a criação de estruturas e instrumentos de divulgação.,Administração Pública,Esdime - Agência para o Desenvolvimento Local no Alentejo Sudoeste,Agência,Esdime - Agência para o Desenvolvimento Local no Alentejo Sudoeste,502149248,"Rectângulo Vermelho, Lda",508853230,2009-04-27T00:00:00Z,11445,Portugal,Beja,Portugal
148353,Aquisição de serviços para o desenvolvimento de actividades de animação no âmbito da ELD e do PACA do GAL ALSud.,Administração Pública,Esdime - Agência para o Desenvolvimento Local no Alentejo Sudoeste,Agência,Esdime - Agência para o Desenvolvimento Local no Alentejo Sudoeste,502149248,Taipa - Organização Cooperativa para o desenvolvimento Integrado do Concelho de Odemira,505199033,2010-03-22T00:00:00Z,21500,Portugal,Beja,Odemira
